"","Date","Hour.CST.","Fargo","Fargo.1","Fargo.2","Fargo.3","Fargo.4","Fargo.5","Fargo.6","Fargo.7","Fargo.8","Fargo.9","Fargo.10","Fargo.11","Fargo.12","Fargo.13","Fargo.14","Fargo.15","Fargo.16","Fargo.17","Fargo.18"
"1","Date","Hour(CST)","AvgAirTemp(°F)","AvgRelHum(%)","AvgBareSoilTemp(°F)","AvgTurfSoilTemp(°F)","AvgWindSpd(mph)","MaxWindSpd(mph)","AvgWindDir(deg)","WindDirStD(deg)","TotalSolarRad(Lys)","TotalRainfall(inch)","StnBaroPres(mb)","AvgDewPoint(°F)","AvgWindChill(°F)","9 mAvgAirTemp(°F)","9 mAvgRelHum(%)","10 mAvgWindSpd(mph)","10 mMaxWindSpd(mph)","10 mAvgWindDir(deg)","10 mWindDirStD(deg)"
"2","2019-01-01","100","-14","76","18","18","0.8","4.6","334","6","0","M","1000","-20","-14","-14","75","2.2","7.2","330","8"
"3","2019-01-01","200","-15","77","18","18","0.1","2.5","356","5","0","M","1000","-20","-15","-14","76","2.0","4.2","328","15"
"4","2019-01-01","300","-14","76","17","18","0.7","3.5","3","10","0","M","1001","-20","-14","-14","75","1.8","5.0","356","9"
"5","2019-01-01","400","-15","77","17","18","0.0","1.0","215","3","0","M","1000","-20","-15","-14","76","0.5","2.5","250","8"
"6","2019-01-01","500","-14","77","17","17","0.1","1.7","246","11","0","M","1000","-19","-14","-13","76","1.9","3.5","259","15"
"7","2019-01-01","600","-15","76","17","17","0.2","3.2","284","2","0","M","1000","-20","-15","-14","75","1.9","5.8","279","11"
"8","2019-01-01","700","-17","76","16","17","0.4","2.9","270","9","0","M","1000","-22","-17","-16","75","2.5","5.8","263","11"
"9","2019-01-01","800","-16","76","16","17","0.0","0.9","164","0","0","M","1000","-22","-16","-16","76","0.0","1.5","263","0"
"10","2019-01-01","900","-15","77","16","16","0.3","2.7","213","14","3","M","1000","-21","-15","-15","77","1.3","5.0","226","8"
"11","2019-01-01","1000","-13","76","16","16","3.2","7.5","215","19","15","M","1000","-19","-23","-13","75","3.8","7.6","212","15"
"12","2019-01-01","1100","-11","76","16","16","5.0","8.1","183","20","15","M","998","-17","-25","-11","74","5.4","8.6","178","20"
"13","2019-01-01","1200","-8","75","16","16","6.3","9.7","182","10","22","M","997","-14","-23","-8","72","6.8","10.3","178","9"
"14","2019-01-01","1300","-6","73","16","17","8.2","13.3","182","11","24","M","996","-12","-23","-6","69","9.0","14.1","179","10"
"15","2019-01-01","1400","-4","73","16","17","8.5","13.3","179","11","29","M","995","-11","-21","-5","68","9.1","14.7","175","10"
"16","2019-01-01","1500","-2","73","17","17","8.4","14.2","182","10","19","M","994","-9","-19","-3","69","9.1","15.2","178","10"
"17","2019-01-01","1600","-2","74","17","18","7.3","13.2","165","12","14","M","993","-8","-17","-2","70","8.0","14.3","161","12"
"18","2019-01-01","1700","-3","76","17","18","8.7","13.9","161","8","4","M","993","-8","-19","-3","73","9.6","13.9","157","8"
"19","2019-01-01","1800","-6","76","17","18","10.6","16.5","159","8","0","M","991","-12","-26","-6","74","11.7","17.9","155","8"
"20","2019-01-01","1900","-8","77","17","17","11.7","17.7","162","9","0","M","990","-13","-29","-8","76","12.9","19.2","157","8"
"21","2019-01-01","2000","-8","77","16","17","11.0","16.2","165","8","0","M","989","-14","-29","-8","76","12.1","17.3","161","7"
"22","2019-01-01","2100","-9","77","16","16","10.2","14.8","166","8","0","M","987","-14","-29","-9","76","11.2","17.8","161","8"
"23","2019-01-01","2200","-8","77","16","16","10.0","16.3","162","10","0","M","986","-14","-28","-8","76","11.2","18.2","157","9"
"24","2019-01-01","2300","-8","76","16","16","10.1","16.3","159","10","0","M","984","-13","-27","-8","75","11.2","17.2","154","10"
"25","2019-01-01","2400","-8","76","16","16","10.3","17.2","159","9","0","M","983","-13","-27","-8","75","11.5","17.9","155","9"
"26","Date","Hour(CST)","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo"
